age_rating,Count of title for movie,Count of title for movie 2,Count of title for tv,description,genre,Sum of running_time,title,type,Sum of year
A,1,1,,"AA is a Kannada action drama starring Sudhi and Divya Sridhar, directed by M Mahesh Kumar. Watch the full movie, AA, online, only on Hotstar.",Action,127,AA,movie,2009
A,,,1,"Abby, a 45-year-old self-identified fat, queer dyke from Chicago, finds a vibrantly transformative relationship when she starts dating a younger trans-man.",Comedy,,Work In Progress,tv,2019
A,,,1,"ADDITIONAL GENRES - SCI-FI AND FANTASY. Clare and Henry have an intricate and magical love story, and a marriage with a problem...time travel.",Romance,,The Time Traveler's Wife,tv,2022
A,,,1,African-American women Issa and Molly residing in Los Angeles go about finding that one missing piece to make their lives fulfilling.,Comedy,,Insecure,tv,2016
A,,,1,"After being sexually assaulted in a nightclub, Arabella's life changes as she is forced to reassess everything, including her career, friends and family.",Drama,,I May Destroy You,tv,2020
A,1,1,,"After surviving an apocalyptic attack aboard her space vessel, Officer Ripley awakens from hyper-sleep and warns anyone who will listen about the predators.",Action,137,Aliens,movie,1986
A,1,1,,"After the unexpected death of her husband, Beth is left alone in the lakeside home, where she learns about the secrets behind her disturbing nightmares.",Horror,106,The Night House,movie,2021
A,,,1,"Allen v. Farrow reveals the private story of the accusation of sexual abuse against Woody Allen involving, his 7-year-old daughter with Mia Farrow.",Documentary,,Allen v. Farrow,tv,2021
A,,,1,"American Horror Story explores the subversive modern horror tales of haunted houses, witches, asylum, hotels, lost colonies, cults and apocalypse.",Horror,,American Horror Story,tv,2013
A,,,1,"Ameya Gaikwad has lost everything to his daughter, Poornima. As her popularity grows, so does his desperation to stop her from eclipsing him completely.",Drama,,City of Dreams,tv,2019
A,1,1,,"Amid the COVID lockdown, a married couple goes through a gruelling phase of their relationship, which spirals out of control resulting in a heinous crime.",Drama,4,Cold Meat,movie,2020
A,,,1,"Amidst the intertwining lives in the town of East Highland, 17-year-old Rue must find hope while balancing the pressures of love, loss, and addiction.",Drama,,Euphoria,tv,2019
A,1,1,,"An acerbic tale of royal intrigue, passion, envy and betrayal in the court of Queen Anne in early 18th century England.",Historical,119,The Favourite,movie,2018
A,1,1,,"An ambitious young woman finds fame when she poses as the survivor of a deadly attack, but she soon learns that online notoriety comes with a terrible price.",Comedy,102,Not Okay,movie,2022
A,,,1,"An anthology series set in a single hotel room, where every guest who comes to stay reveals a unique set of circumstances and quirks.",Drama,,Room 104,tv,2017
A,,,1,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,Drama,,Boardwalk Empire,tv,2010
A,,,1,"An early 2000’s sitcom is rebooted, forcing its dysfunctional cast back together. Now they must deal with their unresolved issues in today’s fast-changing world.",Comedy,,Reboot,tv,2022
A,,,1,"An epic drama about a gang of Victorian women who find themselves with unusual abilities, relentless enemies, and a mission that might change the world.",Historical,,The Nevers,tv,2021
A,,,1,"An epic story of a proud single mother, struggling to earn her daughter’s love during the Great Depression in middle-class Los Angeles.",Drama,,Mildred Pierce,tv,2011
A,,,1,"An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania, where he has some unfinished business.",Action,,Banshee,tv,2013
A,1,1,,"An exorcism turns grisly! When a priest attempts to ward off an evil spirit from a woman's body, he realises there's more than what meets the eye.",Horror,8,Mirror,movie,2021
A,,,1,"An expansion of the hit podcast and bestselling book, Catch and Kill: The Podcast Tapes brings to life the intimate interviews that broke Hollywood's most infamous story.",Documentary,,Catch and Kill: The Podcast Tapes,tv,2021
A,,,1,An exploration of the tumultuous ups and downs of Mike Tyson’s boxing career and personal life - from being a beloved global athlete to a pariah and back again.,Biopic,,Mike,tv,2022
A,,,1,"An immersive journey into the historical moments, cultural events, new trends and technologies that occurred during the 90s.",Documentary,,90's: The Decade That Connected Us,tv,2014
A,1,1,,An Indian intelligence agent named Vikram is sent to Kashmir to find who is responsible for the extremist attacks. The investigation opens some dirty secrets.,Action,111,Lamhaa,movie,2010
A,1,1,,An interracial couple pretend to be roommates when the girl’s Indian mother visits them.,Drama,15,Three’s Definitely a Crowd,movie,2021
A,1,1,,An unlikely friendship struck between a struggling journalist and the world's most famous gun-toting dwarf results in life-changing consequences for both.,Drama,101,My Dinner with Herve,movie,2018
A,,,1,"Anne Lister returns to her ancestral home, Shibden Hall, Halifax in 1832, determined to transform its fate - and with plans to marry a woman.",Drama,,Gentleman Jack,tv,2019
A,,,1,"Anuradha Chandra stabs her perfect lawyer husband one fateful night and confesses to her crime. However, it is anything but an open-and-shut case.",Crime,,Criminal Justice: Behind Closed Doors,tv,2020
A,,,1,"Armed with a bit of hope and a lot of desperation, Jen begins her journey to find her superpower.",Comedy,,Extraordinary,tv,2023
A,,,1,"As her life crumbles around her, a small-town Pennsylvania detective Mare Sheehan investigates a local murder.",Crime,,Mare of Easttown,tv,2021
A,1,1,,"At a breaking point after a near fatal overdose, a woman returns to her childhood home to confront her personal demons but instead discovers a real one.",Horror,85,Matriarch,movie,2022
