cast,country,Year,Quarter,Month,Day,description,director,duration,listed_in,rating,Sum of release_year,show_id,title,type
"Dobrokhotova Ekaterina, Mike New","",,,,,"See what an alien abduction reveals about your memory, learn how a seance in the White House holds the key to superstition, uncover a conspiracy theory about the moon landing.","",1 Season,TV Shows,TV-PG,2013,s32,Your Bleeped Up Brain,TV Show
"Dolph Lundgren, Alex Karzis, Kata Dobó, Corey Sevier","",,,,,A heroic high school teacher leads a band of students trapped in school by violent drug-runners.,Sidney J. Furie,98 min,"Action, Adventure, Drama",R,2004,s8142,Detention (2004),Movie
"Dolph Lundgren, Autumn Reeser, Isaiah Washington","",,,,,Captain Kyle Walker (Dolph Lundgren) leads an elite military team to combat zombies and save the world.,"Mike Cuff, Scott Windhauser",92 min,"Action, Adventure",R,2019,s2699,Dead Trigger,Movie
"Dolph Lundgren, Denise Richards, Jonathan Lipnicki, Chuck Liddell","",,,,,"A headstrong FBI agent is offered millions to help a thief escape from a hijacked airplane. When she finds out that his ex-partners are leading the deadly operation, she must choose sides.",Alex Merkin,88 min,Action,R,2017,s7127,Altitude,Movie
"Dolph Lundgren, Gina Bellman, Conrad Dunn","",,,,,"Waxman is a former Special Forces soldier who is now working as a heavily armed assassin for a top secret government agency. When a covert mission goes terribly wrong, Waxman and fellow assassin Clegg become that agency's prime targets.",Russell Mulcahy,94 min,"Action, Drama, Suspense",R,1996,s3771,Silent Trigger,Movie
"Dolph Lundgren, Jean-Claude Van Damme, Patrick Kilpatrick, Jasmine Waltz","Canada, United States",,,,,A deep-cover operative (Van Damme) imprisoned on a CIA submarine teams with a fellow prisoner (Lundgren) for an electrifying fight to escape in this action-powered thriller.,Pasha Patriki,105 min,"Action, Adventure",R,2018,s3051,Black Water,Movie
"Dolph Lundgren, Jerry Springer","",,,,,"Lance and his team are bodyguards for NSA's head, who is sent by the president to a secret meeting in an empty hotel outside Bucharest. During the meeting, the hotel is attacked. By whom and why?",Dolph Lundgren,91 min,Action,R,2005,s8632,The Defender,Movie
"Dolph Lundgren, Kateri Walker Nancy, Chelsea Ricketts, Matthew Tompkins, John D. Montoya, Sophia Ali, Andrew Stevens, John Enos III, August Schellenberg","",,,,,A mysterious stranger rolls into town on a unique motorcycle. All he carries is the bible and a desire for justice. Past vengeance collides as Ryder rights an injustice from his past and liberates the small town from a malicious oppressor.,Dolph Lundgren,93 min,"Action, Drama, Suspense",R,2007,s7394,Missionary Man,Movie
"Dolph Lundgren, Louis Gossett Jr., Lisa Berkley","",,,,,A tough ex-U.S. Marine journalist battles against time to save the lives of thousands of innocent people after uncovering a complex terrorist plot.,Manny Coto,92 min,"Action, Suspense",R,1991,s9460,Cover-Up,Movie
"Dolph Lundgren, Scott Adkins, James Lance, Lydia Leonard","",,,,,A team travels to China to capture a primeval creature that is not supposed to exist.,Eric Styles,93 min,Action,PG-13,2014,s1882,Legendary,Movie
"Dolph Lundgren, Vinnie Jones, Billy Zane","",,,,,"Quinn had it all: power, money, a brother who idolized him, and a woman who loved him. But he also had enemies. Betrayed by his inner circle, Quinn is set up and arrested. Upon release from prison, Quinn tries to leave his demons in the past, but ""The Company"" won't let him leave in peace. Quinn fights, joining forces with his former henchman, The Swede, to take his enemies head on.","Giorgio Serafini, Shawn Sourgose",85 min,Action,18+,2013,s6696,Blood of Redemption,Movie
"Dominic Cooper, Austin Stowell, Gemma Chan, Connie Nielsen","",,,,,A British Special Boat Service commando tracks down an international terrorist cell.,Simon West,95 min,"Action, Suspense",R,2018,s3955,Stratton,Movie
"Dominic Ho, Candy Ka-Man Yuen, Jeana Ho, Hazel Tong, Winnie Leung","",,,,,"The life of a Hong Kong gigolo named Fung, who started with nothing and now has everything.",Cheuk Man Au,97 min,"Comedy, Drama",18+,2015,s7264,The Gigolo,Movie
"Dominic Monaghan, Ksenia Solo, Jennette McCurdy, Nathan Parsons, Da'Vone McDonald, John Ross Bowie","",,,,,"A young waitress engages in psychological warfare with the lonely man who abducts her, revealing the darkness lurking in each of them.",Carles Torrens,94 min,"Arthouse, Horror, Suspense",R,2016,s8196,Pet,Movie
"Dominic Purcell, Adam Beach, Michael Ironside, Gabriel Hogan","",,,,,A scientist discovers the bodies of three frozen genetically modified Russians buried in the Canadian North. Upon thawing them out he realizes he has unleashed a deadly threat to Western society and must stop them at all costs.,Sturla Gunnarsson,95 min,"Action, Suspense",R,2013,s7403,Ice Soldiers,Movie
"Dominic Purcell, Erin Karpluk, Edward Furlong","Canada, United States",,,,,"Jim is an average New Yorker living a peaceful life with a well paying job and a loving family. Suddenly, everything changes when the economy crashes causing Jim to lose his job, home and wife. Filled with anger and rage, Jim snaps and goes to extreme lengths to seek revenge for the life taken from him.",Uwe Boll,99 min,"Action, Suspense",R,2013,s3922,Assault on Wall Street,Movie
"Dominic Purcell, Josie Maran, Clare Kramer","",,,,,A group of friends' lives are invaded by a trio of hostile ghosts after they engage in a drunken bout of gravedancing during a wakefor an old chum.,Mike Mendez,96 min,"Horror, Suspense",R,2007,s3949,The Gravedancers,Movie
"Dominic Purcell, Louis Gossett Jr., James Caan","",,,,,"Haunted by a tragic past, undefeated washed up boxer Sailor O'Connor (Dominic Purcell) is a broken man. When a fluke opportunity arises to step back in the ring, he takes it. Not knowing when to throw in the towel, Sailor must face his personal demons or die trying to stay on his feet throughout a bloody, brutal beating in the ring.",Damian Lee,88 min,"Action, Drama",R,2014,s7429,A Fighting Man,Movie
"Dominic Purcell, Peter Feeney, Owen Black","",,,,,"The true story of four men who face almost certain death when their yacht capsizes. With little more than hope and each other, the men drift in the frigid Pacific for 119 days.",John Laing,86 min,"Action, Suspense","",2016,s4175,Abandoned,Movie
"Dominic Purcell, Viva Bianca, Robert Taylor","",,,,,"In the wake of a shocking civilian massacre in a foreign war zone, disgraced Navy SEAL Rick Tyler is sentenced to rot in a maximum security military prison until he is offered the opportunity to put his life on the line to win his freedom.",Jon Hewitt,90 min,Action,"",2015,s3883,Elimination Game,Movie
"Dominic Rains, Melissa Leo, James Franco, Rachel Brosnahan, Thomas Jay Ryan, Tim Kniffin","",,,,,"Leaving behind his life as a fixer for Western journalists covering the war in Afghanistan, an Afghan journalist (Dominic Rains) finds himself in a small town in Northern California working as a crime reporter. And when his friend (James Franco) goes missing, he is drawn deep into the community's dark peculiarities and is forced to confront the untenable reality of his new life in the U.S.",Ian Olds,104 min,"Drama, Suspense",7+,2016,s9238,Burn Country,Movie
"Dominic Rains, Sunkrish Bala, Asif Ali","",,,,,"Chee and T are underachieving debt collectors stuck in Silicon Valley, who spend their days collecting rent and chain smoking. When their wealthy Uncle Rob asks them to do a seemingly small job, the task proves to be anything but simple.",Tanuj Chopra,79 min,"Action, Comedy, Special Interest",18+,2018,s2875,Chee & T,Movie
"Dominick Dunne, Robert Evans, Gray don Carter, Liz Smith, Joan Didion, Tina Brown, Griffin Dunne","",,,,,"Hollywood outcast, best-selling author and chronicler of the rich and famous, Dominick Dunne was one of the world's leading journalists and society commentators. This is his story.","Kristy de Garis, Timothy Jolley",85 min,"Documentary, Special Interest",7+,2009,s4731,Dominick Dunne: After The Party,Movie
"Dominique Pinon, Marie-Laure Dougnac, Jean-Claude Dreyfus, Karin Viard, Rufus, Ticky Holgado, Jean-Francois Perrier","",,,,,Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.,"Jean-Pierre Jeunet, Marc Caro",99 min,"Comedy, Drama",R,1992,s7674,Delicatessen,Movie
