cast,country,Year,Quarter,Month,Day,description,director,duration,listed_in,rating,Sum of release_year,show_id,title,type
"Lee J. Cobb, Roscoe Lee Browne, Anthony Zerbe, Lola Falana, Lee Majors, Barbara Hershey, Yaphet Kotto, Dub Taylor, Chill Wills, Ray Teal","",,,,,A Southern lawyer uncovers the truth about a slain undertaker.,William Wyler,103 min,"Drama, Romance, Suspense",R,1970,s562,The Liberation of L.B. Jones,Movie
"Lee Jiunn-jye, Fan Hsiao-fan, Era Wang","",,,,,"In this oddball festival favorite, a motorcycle accident erases the lifeline on Tung-ching's palm, supposedly freeing him from fate and leaving him vulnerable to random chance. While his girlfriend wants to use palmistry to try and retrieve his lifeline, Tung-ching's curious about his new freedom – and one of his pretty customers at the pawn shop where he works.",Hsiao Ya-chuan,74 min,"Comedy, Drama",16+,2000,s7567,Mirror Image,Movie
"Lee Knight, Caroline Burns Cooke, Arron Blake","",,,,,"Security Services officer Christian, confused and unsure of who he really is, must come to terms with his own identity while on the hunt for a Russian agent responsible for the deaths of British troops.",Matthew Goddard,90 min,"Drama, LGBTQ, Suspense",18+,2021,s6741,Misrule,Movie
"Lee Marvin, Richard Burton, Cameron Mitchell, O.J. Simpson, Lola Falana, David Huddleston, Luciana Paluzzi, Linda Evans, Ed Call, John Alderson, John Pearce, David Ladd, Vic Perrin, Spence Wil-Dee, Wendell Wellman, Hoke Howell, Virgil Frye, Robert Porter, Lee de Broux, Charlie Briggs, Morgan Upton, Eve Christopher, Susan Brown, Gary L. Catus, Jeannie Bell, Jo Ann Cowell, Scott Edmund Lane, Bert Williams, Larry Williams, Staple Singers, Mavis Staples, Roebuck 'Pops' Staples, Gene Lehfeldt, Conrad E. Palmisano","",,,,,An FBI Agent goes undercover in the Ku Klux Klan.,Terence Young,101 min,Drama,R,1974,s4503,The Klansman,Movie
"Lee Partridge, Mickey Rourke, Bai Ling, Joaquim De Almeida, Vladimir Kulich, Mark Arron","",,,,,"Mickey Rourke and Bai Ling star in an epic tale of courage in a time of war. When two Roman legions are trapped behind enemy lines, Noreno, a half-Roman soldier, must cross deadly terrain to seek help for his men and turn the tide of the battle.",Jose Magan,96 min,"Action, Adventure, Drama",R,2020,s4224,The Legion,Movie
"Lee Remick, Miranda Otto, Terence Donovan, Mark Lee, Bridey Lee, Donal Gibson","",,,,,"After the start of WW2, a mother takes her children from Sydney to the countryside.",Clytie Jessop,92 min,Drama,13+,1988,s8397,Emma's War,Movie
"Lee Remick, Rod Steiger","",,,,,"After his wife and child are killed during violence in Belfast, an Irishman plots to assassinate the Queen of England in revenge...by bombing the British Parliament when the Royal Family is in attendance.",Don Sharp,105 min,Drama,13+,1975,s2228,Hennessy,Movie
"Lee Soon-jae, Jung Young-sook, Jo Han-chul","",,,,,"In this heart-wrenching drama, an elderly couple married for forty-five years both begin to suffer from dementia. But even as their memories fade, their love only grows stronger.",Lee Chang-geun,112 min,"Drama, Romance",13+,2019,s5370,Romang,Movie
"Lee Van Cleef, Warren Oates, Forrest Tucker, Kerwin Mathews, Mariette Hartley","",,,,,"Lee Van Cleef plays a fiercely independent ferry operator in the American West. Bandit Warren Oates and his gang, with booty acquired from destroying a nearby town, demand passage on the ferry – or else! Mr. Van Cleef declines.",Gordon Douglas,109 min,"Drama, Western",R,1970,s6259,Barquero,Movie
"Lee Young-ae, Song Seung-heon","",,,,,"When an art historian discovers the long-lost diary of famed Joseon artist Shin Saimdang, she delves into the story of the artist's secret love affair while unraveling the mystery of her mysterious portrait.","",1 Season,"Drama, Romance",13+,2017,s6113,Saimdang: Memoir of Colors,TV Show
"Leighton Bryce Jennings, Jacobi Howard, Messiah Amaraham, Kevin Richmond","",,,,,"In the south, Grudge Racing is king. Racers place high stakes bets ranging from $10,000 to $30,000 for 1/8 or 1/4 mile races. Consistent performances builds confidence for a young racer named Boogie. After a calling out to the local champ, Boogie reaches out to his father, a local kingpin to front the bet. A life changing agreement that bridges the gap in a strained relationship.","",1 Season,"Action, Drama","",2021,s6011,Hook City,TV Show
"Leighton Meester, Gillian Jacobs, Adam Brody, Mark Feuerstein","",,,,,Sasha (Leighton Meester) and Paige (Gillian Jacobs) use their co dependent friendship to not venture into the dating world. When Paige meets Tim (Adam Brody) and get serious their friendship changes. Sasha tries to keep their relationship the same.,Susanna Fogel,93 min,"Comedy, Drama, Romance",R,2014,s8410,Life Partners,Movie
"Leighton Meester, Larry Joe Campbell, Lola Glaudini, Morgan Spurlock","",,,,,"Horror gets Super Sized when Horny The Clown, the demonic mascot of ""Hella-Burger,"" starts slashing Orange County teenagers with his meat cleaver.","Shane Kuhn, Brendan Cowles",92 min,"Comedy, Horror",R,2007,s8844,Drive Thru,Movie
"Leland Melvin, Arnav Krishna","",,,,,"Child Genius is part docu-soap, part competition. The series will bring us into a world where children far surpass their parents when it comes to brain power.","",2 Seasons,"Documentary, Drama, Kids",TV-PG,2016,s2865,Child Genius,TV Show
"Len Carlson, Rob Cowan, Paul Fusco, Dan Hennessey","",2021,Qtr 3,September,30,"When the evil Larson Petty returns to invade the planet, Gordon becomes an unlikely ally and helps Melmac.","",1 Season,"Animation, Kids",TV-Y,1988,s9036,Alf: The Animated Series,TV Show
"Lena Hall, Christine Lahti, Mena Suvari, Dan Fogler, Michael Zegen, Hayley Kiyoko, Darren Ritchie, Sas Goldberg, Morgan Weed, Sarah Wilson, Natalie Gold","",,,,,"After a crushing breakup with her girlfriend, a Brooklyn musician moves back to her childhood home in St. Louis. While performing for tips at a local tavern and struggling to reconnect with her ultra-Catholic mother, she strikes up a unique friendship and begins to discover her musical voice. As she grows more confident as a musician, a new life in her hometown suddenly seems within her reach.","Elizabeth Rohrbaugh, Daniel Powell",94 min,"Arts, Entertainment, and Culture, Drama",16+,2018,s7363,Becks,Movie
"Lena Waithe, Rishi Rajani, David Fortune, Stacy Pascal Gaspard, Gabriela Ortega, Shelly Yo, Johnson Cheng, Boma Iluma, Deondray Gossfield, Quincy LeNear Gossfield, Elisee Jr St Preux","",,,,,"Through sacrifice, deferred dreams, and the support of their families and communities, ten BIPOC filmmakers commit themselves to the work of storytelling.",Kwanza Nicole Gooden,16 min,Documentary,16+,2021,s5905,The Rising Voices Story,Movie
"Lennie James, Sheri Sadd, Peter Sullivan, Catherine Walker, Neve McIntosh, Kimberley Nixon","",,,,,"Set in a gleaming new Major Trauma Centre that only deals with only the most serious cases, Critical is an emotional roller-coaster ride as an emergency medical team battles through the vital first hour of care to save lives that hang in the balance.","",1 Season,Drama,18+,2015,s5864,Critical,TV Show
"Lenny McLean, Jamie McLean, Guy Ritchie, Jason Flemyng","",,,,,"Donned as ""the hardest man in London"", this documentary is an extraordinary journey into the brutal brilliance of infamous East End boxer Lenny McClean, also known as the ""The Guv'nor"". From being a bouncer in London's West End, to life in the ring and his work with acclaimed director Guy Ritchie, McClean's story and journey is told through the eyes of his son Jamie.",Paul Van Carter,85 min,Documentary,16+,2016,s631,The Guv'nor,Movie
"Lenore Zann, Elisabeth Rosen, James Gallanders","",,,,,"Margaret is an over-sexed, single mother in her early thirties, working in a Toronto laundromat. She meets Jim, 10 years her junior, who encourages her to have a stable relationship. Margaret's 13-year-old daughter, Lisa, moves with them, she immediately begins competing with her daughter for Jim's attention. Soon Jim and Lisa embark on a clandestine affair.",Jack Blum,112 min,Drama,18+,1998,s4957,Babyface,Movie
"Leo Adriaansen, Sven Reinieren","",,,,,"To eat better leftovers from restaurant La Vérité's garbage bin, homeless Betrand and his 12-year-old refugee protege secretly drop cooking tips in the restaurant letterbox. These make its discriminating owner famous.",Benn Flore,53 min,"Drama, Kids, Special Interest",ALL,2020,s4947,Garden of Eden,Movie
"Leo Farard, Marshall Williams, Natalie Krill","",,,,,"In the near apocalyptic future, a young smuggler is forced to convince his older brother to get back on the Grid and help him clear a debt.",Dean Lowell,80 min,"Action, Science Fiction",18+,2018,s4230,Supergrid,Movie
"Leo Gorcey, Bobby Jordan","",,,,,New York City street principles get an East Side Kid in trouble at a Civilian Conservation Corps camp.,Joseph H. Lewis,60 min,Comedy,7+,1940,s9664,Pride Of The Bowery,Movie
"Leo Gorcey, Bobby Jordan, Huntz Hall, Keye Luke, Warren Hull, Charlotte Henry, Bobby Stone, Donald Haines, Ernest Morrison, David Gorcey, Martha Wentworth, Jack Mulhall, Eddie Foster, Dennis Moore, Tony Carson, Pat Costello, Dick Ryan, Jack Carr, Bill Cartledge, John Indrisano, George Morrell, Minerva Urecal","",,,,,"The East Side Kids discover that one of their own, Danny, is torn between staying and school and becoming a boxer, and is getting mixed up with gangsters.",Wallace Fox,62 min,"Comedy, Drama",PG,1941,s2992,Bowery Blitzkreig,Movie
"Leo Gorcey, Huntz Hall, Bobby Jordan, Bela Lugosi, Ava Gardner, Rick Vallin, Ernest Morrison, William 'Billy' Benedict, Stanley Clements, Bobby Stone, Minerva Urecal, Wheeler Oakman, Peter Seal, Frank Moran, Jack Mulhall, Bill Bates, Harry Depp, Tom Herbert, Robert F. Hill, Eddie Laughton, Kay Marvis, Ray Miller, Blanche Payson, 'Snub' Pollard","",,,,,"The East Side Kids try to fix up a house for newlyweds, but find the place next door ""haunted"" by mysterious men.",William Beaudine,65 min,"Comedy, Horror, Suspense",PG,1943,s2352,Ghosts On The Loose,Movie
"Leon, Themba","",,,,,"A rural boy, a large dog, an orphaned baby rhino and an aging reprobate set out to stop the rhino slaughter. Their quest buffets them between high comedy and searing tragedy, until they end up an inspiration and a conscience to a world in need of heroes.",Gray Hofmeyr,100 min,Comedy,16+,2018,s4843,Frank & Fearless,Movie
Leonard Nimoy,"",,,,,"Remembering Leonard Nimoy is a loving and very personal tribute to the life and career of Leonard Nimoy, the prolific actor and director who is best known for playing Spock in Star Trek. In addition to stories from his childhood and anecdotes from his early career in Hollywood, the film shows how he helped raise awareness for the lung disease that eventually took his life, COPD.","Julie Nimoy, David Knight",57 min,Documentary,"",2017,s1183,Remembering Leonard Nimoy,Movie
"Leonard Nimoy, William Shatner, DeForest Kelley","",,,,,"In the final season of this groundbreaking sci-fi series, Kirk tries to track down Spock's (Leonard Nimoy) stolen brain, reenacts the shootout at the O.K. Corral and gets trapped between dimensions.","",3 Seasons,Science Fiction,TV-PG,1969,s911,Star Trek Original (Remastered),TV Show
"Leonardo Alonso, Rodrigo Franco","",,,,,A night guard has to deal with a bizarre and improbable series of events in the most important night of his life.,Diego Ros,75 min,Drama,18+,2016,s8442,El Vigilante,Movie
"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye, Amy Adams, James Brolin, Brian Howe, Frank John Hughes, Steve Eastin","United States, Canada",,,,,"From three-time Oscar winning director Steven Spielberg, Catch Me If You Can follows Frank W. Abagnale, Jr. as he successfully passes himself off as a pilot, a lawyer and a doctor - all before his 21st birthday!",Steven Spielberg,141 min,Suspense,PG-13,2002,s7042,Catch Me If You Can,Movie
"Léonie Langlart, Julien Ivanowich, Bruce Lalande, Vincent Terrier","",,,,,Blondie Maxwell is a future anticipation thriller. It explores the consequences of unreasonable use of technology and artificial intelligence while addressing concepts of the ultra uberisation of society and the privatization of justice.,Julien Ivanowich,87 min,"Action, Science Fiction",16+,2020,s4209,Blondie Maxwell Never Loses,Movie
"Leonor Watling, Rafael Novoa, Nathaniel Parker, Juana Acosta","",,,,,"The Vineyard is the story of Mauro Larrea and Soledad Montalvo, two strangers whose destinies will cross in the second half of the 19th century, leading to their lives changing forever. A history of glories and defeats, of silver mines, family intrigues, vineyards, wineries, and fascinating cities whose splendor faded over time.","",1 Season,Drama,16+,2021,s402,The Vineyard,TV Show
"Leroy, Sleaze, Louie, Mr D.","",,,,,"It's Leroy's big adventure! With a summer job as ranch-hand at an all girl guest ranch, he thinks it will be one big picnic. But things are not as peachy as they seem when the Black River Montser shows up at the ranch and strange things start happening. Two local bad-guys get caught up in the mishaps which leads to a hair-raising hilarious adventure. SOV (shot on video)",John Duncan,49 min,"Action, Comedy",7+,1986,s6697,Black River Monster,Movie
"Les Dennis, April Pearson, Nathan Clarke, Anthony Head","",,,,,"When two inept young criminals break into the home of a washed-up psychic, they get a lot more than they bargained for... because 'The All-Seeing Stupendo' is a genuine master of the dark mystic arts.",Adam Oldroyd,99 min,Suspense,16+,2021,s6675,Sideshow,Movie
"Les Mahoney, Debra Mayer, Devai Pearce, Atoy Wilson, Dale Shane, Erica Juliet (Ocampo), Suniil Sadarangani, Scott Ganyo, William Mitchell",United States,,,,,"Honest enough to trust. Crooked enough to get the job done. A film noir comedy about a private eye, a husband who wants to stay lost, and a wacky cast of characters.",Justin Baird,74 min,"Comedy, Suspense",18+,2013,s4723,Mike Case in: The Big Kiss Off,Movie
"Les Mahoney, Jana Podlipna, Paul Dean, Atoy Wilson, Gerold Wunstel, Mattea D'Amore, Leslie Eckl, Petra Herz",United States,,,,,"James Kane receives an unexpected invitation to attend Oktoberfest from an old girlfriend in Germany and is soon plunged into the nightmare world of modern espionage, where he must confront the demons of his past if he is to survive.",Les Mahoney,73 min,"Action, Drama, Suspense",13+,2016,s4602,Available,Movie
"Lesley-Anne Down, Daniel Morgenroth, Tony De Santis, Kate Trotter, Barclay Hope","",,,,,"After a radio talk show host takes to the airwaves to discuss recent slayings of lonely women aboard cruise ships, she receives information that leads her to believe she knows the killer and may be the next target.",Paolo Barzman,94 min,"Drama, Suspense",PG-13,2002,s4137,Mary Higgins Clark's: You Belong to Me,Movie
"Leslie Bibb, Kevin Curtis, Nadia Dajani",United States,2021,Qtr 2,April,10,"When a car crash leaves Frannie immobilized, she is brushed off by everyone she can count on. With nowhere else to turn, Frannie reluctantly calls her ex, Devon, for help. It isn't long before old wounds emerge and are made worse when Devon's crazy new girlfriend shows up.",Liz Tuccillo,93 min,Comedy,"",2014,s12,Take Care,Movie
"Leslie Cheung, Joey Wang, Michelle Reis, Jacky Cheung, Wu Ma","",,,,,A Chinese Ghost Story II Chinese 倩女幽魂 II人間道 is a 1990 Hong Kong romantic comedy-horror film directed by Ching Siu-tung and produced by Tsui Hark. It is the sequel to A Chinese Ghost Story and is followed by A Chinese Ghost Story III.,Siu-Tung Ching,103 min,"Action, Comedy, Science Fiction",16+,1990,s7976,A Chinese Ghost Story II,Movie
"Leslie Cheung, Joey Wang, Wu Ma, Wai Lam, Siu-Ming Lau","",,,,,"After a string of bad luck, a debt collector has no other choice than to spend the night in a haunted temple, where he encounters a ravishing female ghost and later battles to save her soul from the control of a wicked tree demon.",Siu-Tung Ching,96 min,"Action, Horror, Science Fiction",16+,1987,s7956,A Chinese Ghost Story,Movie
"Leslie Nielsen, Robyn Lively, Steven Eckholdt, Tommy Davidson, Max Morrow",United States,,,,,"In this heart-warming Christmas tale, the real Santa Claus (Leslie Nielsen) tumbles out of his sleigh and develops amnesia. He soon comes across a jaded TV reporter who is his only hope for getting his memory back in time to save the holiday.",William Dear,92 min,Comedy,ALL,2000,s8092,Santa Who?,Movie
"Leticia Chaves, Deborah Steffanie, Dani Scofano, Carol Rocha","",,,,,"Pink is a young pop singer, outspoken lesbian, who is very successful among young people of all genders. This season Pink will release her first clip with Tati, who is her main partner. Tati composes most of the group's songs. Bruna is Pink's girlfriend and Gaby is Tati's girlfriend. The two hate each other and Gaby will do everything to disrupt the relationship between Bruna and Pink.","",1 Season,"Drama, LGBTQ, Romance",16+,2021,s6540,Pink - Love of Girls,TV Show
"Leven Rambin, Evan Ross, Taylor Nichols, Harold Perrineau, Melora Walters, Brett Davern","",,,,,"Seventeen-year-old Leonard Grey went on a high school shooting rampage killing one student and injuring scores more before turning the gun on himself. Using documentary style interviews CASE 219, based on Walter Dean Myers' award-winning novel, Shooter, examines the interconnected relationships between the shooter, his friends, their tormentors at school, and their parents.",James Bruce,93 min,Drama,13+,2021,s6285,CASE 219,Movie
"Leven Rambin, Jim Parrack, Landon Edwards, Taylor John Smith","",,,,,"An army veteran returns home to find her brother, only to discover a lost boy in the woods behind her home. After taking him in, she discovers local folklore about a lifedraining spirit that comes in the form of a child; the Tatterdemalion.",Ramaa Mosley,101 min,"Horror, Suspense",16+,2018,s1813,Lost Child,Movie
"Lew Ayres, Gail Patrick, Paul Kelly, Benny Baker, Ernest Cossart, Onslow Stevens, Joce Compton","",,,,,"After crime boss Nate Girard is acquitted of murder, he throws a huge celebratory party and invites all the press photographers to cover it. Girard poses for a press shot with his lawyer Renfield, and when the flash bulbs stop flashing, Renfield drops dead to the ground. The police round up all the press for questioning, but mainly suspect mystery woman Meg Archer of the murder, as she fled the party shortly after the crime. She enlists the help of newspaper photographer Kent Murdock, who she met at the party, to clear her name. Girard's goons begin to chase Kent and Meg after they discover a photo plate that just might show the real killer committing the murder.",Charles Barton,70 min,Suspense,18+,1936,s1568,Murder With Pictures,Movie
"Lew Ayres, Teresa Wright, Victor Jory, Duncan Renaldo, Jacqueline White","",,,,,"Lin Vanner (Ayres) captures and turns in a fellow oil company employee whom he believes was behind a payroll robbery. The accused man dies in police custody, and Lin feels overwhelmingly responsible for the man's death, wondering if he was actually innocent of the crime. His guilt causes Lin to lose his job and his fiancee, and to soothe his conscience, Lin seeks out the dead man's widow, Evelyn (Wright). The two fall in love and marry without Evelyn ever knowing about Lin's past and feelings of guilt. When Lin discovers who really commited the robbery, he goes after the man, who dies accidentally in the ensuing chase. Lin is now accused of murdering the man, and must become a fugitive on the run. This is the lost masterpiece of director John Sturges.",John Sturges,102 min,Western,18+,1950,s724,The Capture,Movie
Lewis Black,"",,,,,"""Lewis Black: Black To The Future"" - 50 Min - Recorded live in NYC - A passionate performer who is a more pissed-off optimist than mean-spirited curmudgeon.",Justin Kreutzmann,50 min,"Arts, Entertainment, and Culture, Comedy",16+,2016,s1873,Lewis Black: Black to the Future,Movie
"Lex Barker, Karin Dor, Christopher Lee, Carl Lange, Christiane Rücker, Vladimir Medar, Dieter Eppler","",,,,,"In the Olden Tymes, Count Regula is drawn and quartered for killing twelve virgins in his dungeon torture chamber. Thirty-five years later, he comes back to seek revenge on the daughter of his intended thirteenth victim and the son of his prosecutor in order to attain immortal life.",Harald Reinl,80 min,"Horror, Suspense",16+,1967,s7957,The Torture Chamber of Dr. Sadism,Movie
"Lex Quarterman, Karla Droege, Jacquelyn Zook","",,,,,"A house cat who dreams of exploring the outside world gets his wish when he mysteriously transforms into a human. On his daylong journey, he helps a grieving mother and daughter at odds over a personal loss find peace.",Jake Thomas,76 min,Drama,16+,2020,s6732,Shedding,Movie
"Lexi Giovagnoli, Adam Hagenbuch, Christian Brunetti, Ciara Flynn, Cameron Richardson, Catherine Hicks","",,,,,"Starring Lexi Giovagnolia, Cameron Richardson, and Catherine Hicks. Honeymooners stranded at a bed and breakfast during a hurricane are terrorized by an unknown assailant. Are they victims of an elaborate prank, or is someone after them?","MarVista Entertainment,  Inc.",90 min,Suspense,UNRATED,2016,s6570,Honeymoon From Hell,Movie
"Lexi Giovagnoli, Ashley Argota, John DeLuca, Diane Salinger, Tracey Gold, Martin Klebba, Dee Wallace","",,,,,"Eve Hallow’s 18th birthday comes with an unexpected family legacy of magic. When Eve attempts a spell to speak with her deceased mother, she accidentally summons a vengeful witch who threatens to wreak havoc. As a Halloween party goes wrong and a theater becomes the stage for disaster, it is up to Eve to believe in herself and take control of her destiny.",Charlie Vaughn,92 min,Kids,UNRATED,2016,s5130,All Hallows' Eve,Movie
"Lexi Giovagnoli, Brant Daugherty, Lexi Atkins, Randy Wayne, Meredith May, Ariana Guerra, Nthenya Ndunda, Joan Severance, Ashley Fink, Maureen McCormick","",,,,,"Famous actor Chas Hunter and aspiring actress Clarissa Byers agree to fake an engagement to improve both their reputations. However, playing pretend starts to feel all too real as the two start to fall for one another.",Letia Clouston,86 min,Comedy,13+,2016,s3362,Accidentally Engaged,Movie
"Lexi Giovagnoli, Calum Worthy, Diedrich Bader, Julia Duffy","",,,,,"When her birthday wish magically summons wacky Hollywood actor Drake to her small Midwestern town, Sophie has to figure out how to help him fit in until she can get him back home. But Drake is more interested in helping Sophie stand out.",Letia Clouston,89 min,Drama,7+,2014,s3318,All She Wishes,Movie
"Lexie Smith, Lamar Allen, Joshua Powell","",,,,,"Hope Turner is an illegal essay writer who starts working under a new boss named Farraday. She writes a paper that is so impressive, it catches the attention of the college president who wants his security officer to deal with the situation. Instead of dealing with the situation directly, the security adviser hires a dangerous outsider named Roderick.",Curtis Everitt,70 min,"Drama, Suspense",18+,2021,s6445,The Intimidation Game,Movie
"Lezley McSpadden, Michael Brown Sr.","",,,,,"Told by activists and leaders who live and breathe this movement for justice, Whose Streets? is an unflinching look at the Ferguson uprising and a powerful battle cry from a generation fighting, not for their civil rights, but for the right to live.","Sabaah Folayan, Damon Davis",102 min,Documentary,R,2017,s6019,Whose Streets?,Movie
"Li Gong, Bo Huang, Gang Wu, Yuchang Peng, Bai Lang","",,,,,"After 12 years, the Chinese women's volleyball team again reached the Olympic final. The ups and downs of the Chinese women's volleyball team for more than three decades have slowly spread away.",Peter Ho-Sun Chan,135 min,Drama,13+,2020,s8388,Leap,Movie
"Li Qin, Wang Dalu, Xiao Zhan, Xin Zhilei","",,,,,The script tells the story of Kuizhou City Princess Zhaixing and the young wolf cub who grew up in the wolf pack. They met after missing them for eight years. The two fought for the fate of love.,"",1 Season,"Drama, Romance",13+,2020,s389,The Wolf,TV Show
"Li Sun, Jianbin Chen, Dong-xue Li","",,,,,"Set in 1722 during the Qing Dynasty, sweeping drama EMPRESSES IN THE PALACE is an epic tale of love, betrayal and scandal told from inside the Imperial Harem - the story of one emperor and his countless women. In a world filled with treachery and corruption, who will truly win the Emperor's heart and reign supreme? In Mandarin with English subtitles.","",1 Season,"Drama, International",TV-NR,2011,s2555,Empresses in the Palace - The Complete Series (English Subtitled),TV Show
"Li Yi Tong, Xu Kai, Li Ze Feng, Wu Jia Yi, Tan Jian Ci, Hong Yao","",,,,,"Born into privilege as the son of one of the founding pillars of the Tang Empire, Sheng Chu Mo has never had any desire to do more than enjoy the ease of his own life. With no aspirations, no direction, and no ambition, his life was one of idleness and frivolity but all that changed, the day he first laid eyes on Fu Rou.","",1 Season,"Drama, Romance",13+,2021,s7416,Court Lady,TV Show
"Lia Williams, Pauline Collins, Clive Russell, Kelly Macdonald","",,,,,"A deeply disturbing story, based on modern news stories. In Scotland, a social worker brings in two youngsters who have been running wild. Convinced of a widespread network of Satanic child abuse, her boss calls in an expert. As the authorities seem all too eager to believe the allegations, at the center of it all are the two young children and a tight-knit community in turmoil.",Michael Whyte,89 min,Drama,18+,1996,s7746,Flowers of the Forest,Movie
"Lia Williams, Soren Byder, Malcolm Raeburn, Roger Watkins","",,,,,"Ella is trying to escape her 'family', a small group of relatives and so-called friends who have abused her since childhood. When she visits an osteopath to relieve physical trauma, he encourages her to break from the abusers who still control her, but Ella's struggle brings pain, torment and turmoil not only to her, but also to Edward and his family, as they are sucked into her nightmare world.",David Attwood,91 min,Drama,18+,2004,s8681,May 33rd,Movie
Liam Dale,"",,,,,"Track the main events of World War II with the help of remarkable archive footage and see exactly what happened, and when. Learn about Pearl Harbor, The Battle of Britain, D-Day, the dropping of the atomic bomb and more. From the early battles right through to the complexities of the endgame, this extensive 24 episode series shines a spotlight on a period of history that should never be forgotten.","",1 Season,"Documentary, Military and War",13+,2020,s70,World War 2 - The Call of Duty: A Complete Timeline,TV Show
"Liam Gist, Zakiya Mathews, Ashley Mathaw, Chelley Chelle","",,,,,"Bree takes her first breath as a free woman as she is released from serving her sentence for credit card fraud after the 2020 Pandemic in Los Angeles. She took charges for her Boyfriend Shaun, who was late to pick her up. Once a Bonnie & Clyde kind of love, now, they fight and fuss at each other after losing everything, both of them are holding on to grudges and pain.","",1 Season,"Drama, Romance",18+,2021,s8616,Tugged,TV Show
Liam Neeson,"",,,,,"From PBS - In the frigid valleys of Japan's Shiga Highlands, a troop of snow monkeys make their way and raise their families in a complex society of rank and privilege where each knows their place. With their confident leader to guide them and their families to shelter and care for them, this troop of snow monkeys is ready to face the world.",Joe Pontecorvo,53 min,Documentary,G,2014,s1521,Nature: Snow Monkeys,Movie
"Liam Neeson,  Bradley Cooper,  Sharlto Copley,  Jessica Biel","",,,,,"The A-Team is now available for download! The cast and crew of The A-Team bring you on set to the ""Making of a Scene!"" Get a behind-the-scenes look at how the action-packed Königsbank sequence was created.",Joe Carnahan,10 min,"Action, Adventure, Comedy",NR,2010,s9531,The A Team: Making a Scene,Movie
"Liam Neeson, Bradley Cooper, Sharlto Copley, Jessica Biel","",,,,,"The big screen, 21st century version of the action packed series THE A-TEAM.",Joe Carnahan,119 min,Action,PG-13,2010,s9577,The A-Team,Movie
"Liam Neeson, Famke Janssen, Leland Orser, Radivoje Bukvic, Mathieu Busson, Holly Valance, Katie Cassidy, Xander Berkeley, Nicolas Giraud, Maggie Grace, Jon Gries, Michael Mandaville, Luc Besson, Robert Mark Kamen, Christophe Kourotchkine, Valentin Kalaj, Nabil Massad, Jalil Naciri, Edwin Kruger, Olivier Rabourdin, Anca Radici, Christy Reese, Nathan Rippy, Opender Singh, Helena Soubeyrand, Tommy Spahija, Anatole Taubman, Bertrand Treuil, George Hertzberg, David Warshofsky, Ivette Gonzalez, Gerard Watkins, Don Abernathy, Pierre Morel, Didier Hoarau, Franck Lebreton","",,,,,"When his estranged daughter is kidnapped in Paris, a former spy (Liam Neeson) sets out to find her at any cost. Relying on his special skills, he tracks down the ruthless gang that abducted her and launches a one-man war to bring them to justice and rescue his daughter.",Pierre Morel,91 min,"Action, Drama",PG-13,2009,s9089,Taken,Movie
"Liam Neeson, Kate Walsh, Robert Patrick, Anthony Ramos, Jeffrey Donovan, Jai Courtney",United States,,,,,"Wanting to lead an honest life, a notorious bank robber (Liam Neeson) turns himself in, only to be double-crossed by two ruthless FBI agents.",Mark Williams,99 min,"Action, Suspense",PG-13,2020,s2193,Honest Thief,Movie
"Liam Remick, Rachel Hockett, Joseph Lopez, Abigail McGuire, Ivy Rhodes, Jessica Diaz","",,,,,"Nursery rhymes, baby videos and kids songs that your preschooler can dance to all day long! Enjoy this collection of 22 Mother Goose Club hit videos. Your children can race along the tracks to ""Freight Train"", spin in circles with their friends to ""Ring Around the Rosy"" or do a robot dance to the original Mother Goose Club hit ""Rockin' Robot""!",John Hussey,42 min,Kids,ALL,2015,s3770,Sing and Rhyme with Mother Goose Club,Movie
"Liang Guanhua, Zhang Zijian","",,,,,"Amazing Detective Di Renjie 2, also known as Shen Tan Di Renjie 2, is the second installment in a four-season Chinese television series based on detective stories related to Di Renjie, a Tang dynasty magistrate and statesman.","",1 Season,"Action, Drama, Suspense",13+,2006,s2681,Detective Di Renjie 2 (HD),TV Show
"Libby Tanner, John Waters, Jeremy Sims, Natasha Novak, Nadia Townsend, Chris Morris","",,,,,"City slickers Lill and Perry escape to a rural idyll and begin to assimilate into a small community where everyone knows everyone else's business. The focus of the town and the show is the local volunteer fire service but that's only a device. While there is always a fire to put out the stories are primarily about the lives of the firefighters and those around them, away from the forefront.","",1 Season,"Action, Drama, Romance",13+,2004,s2471,Fireflies,TV Show
"Libby, Daniel, Stephan, Micha, Julia, Katja","",,,,,"It is time to get involved with the eerie, mystical and supernatural. Accompany the team of Ghost Files Germany to the most haunted and legendary places of the country. Follow the investigators on their trip to explore the unexplored.","",1 Season,"Horror, Suspense",16+,2021,s4583,Ghost Files Germany,TV Show
"Libe Barer, Marin Ireland, Shane McRae, Peter Gerety, Margo Martindale, Giovanni Ribisi",United States,,,,,Who is Marius Josipovic? Marius himself would like to know. He's feeling a pull toward the Bernhardt family. But he's not part of the family. He's a con-man. The chance to become more like a normal human being is enticing. It also scares him to death. This season all the members of the Sneaky Pete family explore their identity. It’s a dangerous journey. They could lose themselves or their lives.,"",3 Seasons,Drama,18+,2019,s966,Sneaky Pete,TV Show
