Sum of Budget($),country,Year,Quarter,Month,Day,Genre,orig_lang,Sum of Revenue($),Sum of score,Title
5070773,AU,2016,Qtr 2,June,7,"War, Drama, History", Danish,43904783,78,Land of Mine
9900000,AU,2016,Qtr 2,June,8,"Thriller, Horror", English,159047649,70,Don't Breathe
40000000,AU,2016,Qtr 2,June,9,"Horror, Thriller", English,321834351,73,The Conjuring 2
18000000,AU,2016,Qtr 2,June,10,Western, English,0,61,Forsaken
10000000,AU,2016,Qtr 2,June,11,drama, French,64412532,72,It's Only the End of the World
13000000,AU,2016,Qtr 2,June,14,"Action, Thriller, Drama", English,6903033,62,Blood Father
5000000,AU,2016,Qtr 2,June,14,drama, English,10727536,71,Paterson
10000000,AU,2016,Qtr 2,June,15,"Comedy, Drama", German,178077014,70,Toni Erdmann
6400000,AU,2016,Qtr 2,June,15,"Drama, Mystery, Thriller", English,3804977,59,Personal Shopper
200000000,AU,2016,Qtr 2,June,16,"Adventure, Animation, Comedy, Family", English,1025006125,70,Finding Dory
20000000,AU,2016,Qtr 2,June,16,"Drama, Romance", English,208064908,79,Me Before You
70700000,AU,2016,Qtr 2,June,16,"Family, Animation", English,906265370,82,Piper
160000000,AU,2016,Qtr 2,June,17,"Action, Adventure, Fantasy", English,438899824,64,Warcraft
13000000,AU,2016,Qtr 2,June,17,"Family, Drama", English,73773317,74,Miracles from Heaven
8575000,AU,2016,Qtr 2,June,18,"Thriller, Drama, Romance", Korean,37767206,82,The Handmaiden
165000000,AU,2016,Qtr 2,June,23,"Action, Adventure, Science Fiction", English,384169424,53,Independence Day: Resurgence
105000000,AU,2016,Qtr 2,June,23,"Adventure, Animation, Family, Comedy, Science Fiction", English,402156682,61,Ice Age: Collision Course
20000000,AU,2016,Qtr 2,June,27,"Mystery, Adventure, Crime", English,85583945,71,Nerve
140000000,AU,2016,Qtr 2,June,30,"Adventure, Family, Fantasy", English,199646680,62,The BFG
180000000,AU,2016,Qtr 2,June,30,"Fantasy, Action, Adventure", English,348902025,59,The Legend of Tarzan
33000000,AU,2016,Qtr 3,July,7,comedy, English,75898100,61,Mike and Dave Need Wedding Dates
21000000,AU,2016,Qtr 3,July,7,"Science Fiction, Adventure, Action", English,991329,49,Robot Overlords
50000000,AU,2016,Qtr 3,July,8,"Action, Comedy, Crime, Mystery", English,217194805,64,Central Intelligence
174000000,AU,2016,Qtr 3,July,14,"Action, Fantasy, Comedy", English,524594074,108,Ghostbusters
10000000,AU,2016,Qtr 3,July,14,"Comedy, Drama", English,4366460,68,Demolition
3000000,AU,2016,Qtr 3,July,14,"Comedy, Drama, Romance, Fantasy, Adventure", English,5837111,69,Swiss Army Man
4385000,AU,2016,Qtr 3,July,14,"Horror, Science Fiction, Thriller", English,1133031,47,Cell
185000000,AU,2016,Qtr 3,July,21,"Action, Adventure, Science Fiction", English,335673708,68,Star Trek Beyond
5000000,AU,2016,Qtr 3,July,21,"Horror, Thriller, Mystery", English,148806510,63,Lights Out
3500000,AU,2016,Qtr 3,July,24,"Action, Animation, Crime, Drama", English,3775000,66,Batman: The Killing Joke
38000000,AU,2016,Qtr 3,July,28,"Action, Fantasy", Chinese,43300000,54,League of Gods
120000000,AU,2016,Qtr 3,July,28,"Action, Thriller, Mystery", English,416168316,63,Jason Bourne
20000000,AU,2016,Qtr 3,July,28,"Comedy, Drama", English,54404202,63,Barbershop: The Next Cut
3500017.4,AU,2016,Qtr 3,July,28,"Drama, Crime, Thriller, Mystery", English,1787926,49,Exposed
8500000,AU,2016,Qtr 3,July,29,"Horror, Thriller, Adventure, Action", Korean,87547518,78,Train to Busan
175000000,AU,2016,Qtr 3,August,4,"Action, Adventure, Fantasy", English,745744980,59,Suicide Squad
120000000,AU,2016,Qtr 3,August,10,"Family, Animation, Comedy, Mystery", English,337633178,76,Scooby-Doo! and WWE: Curse of the Speed Demon
50000000,AU,2016,Qtr 3,August,11,"Action, Drama, History, War", English,23237252,67,Free State of Jones
