country,Sum of budget,genre,language,r date,Sum of revenue,Sum of score,title
RU,29200007,"Adventure, Animation, Comedy, Family, Fantasy, Romance", Russian,2016-04-28 00:00:00,4190750,62,Sheep & Wolves
US,29200000,"Thriller, Action", English,2017-02-24 00:00:00,5466698,55,Collide
US,29200000,"Thriller, Drama, Crime", English,2022-08-05 00:00:00,5466698,54,Collide
AU,29073270.6,"Drama, Thriller, Romance", German,2019-06-20 00:00:00,4831836,78,Never Look Away
JP,29060000,"Animation, Adventure, Fantasy, Action", Japanese,2013-01-12 00:00:00,12705094,72,Hunter x Hunter: Phantom Rouge
AU,29000000,"Action, Crime", English,1988-10-19 00:00:00,34994648,62,Red Heat
AU,29000000,"Action, Drama, Mystery", English,2004-01-13 00:00:00,97413527,63,Once Upon a Time in Mexico
AU,29000000,"Action, Thriller", English,1992-04-23 00:00:00,59509925,68,The Last Boy Scout
AU,29000000,"Action, Thriller", English,2022-02-10 00:00:00,16017096,63,Blacklight
AU,29000000,"Adventure, Fantasy, Action, Comedy, Family", English,1998-04-09 00:00:00,54045832,60,The Borrowers
AU,29000000,"Adventure, Horror, Action, History", French,2002-11-28 00:00:00,70752904,67,Brotherhood of the Wolf
AU,29000000,Comedy, English,2016-04-14 00:00:00,78652207,59,The Boss
AU,29000000,Comedy, English,2018-09-27 00:00:00,104145633,62,Night School
AU,29000000,Comedy, English,2020-05-06 00:00:00,26563888,63,Like a Boss
AU,29000000,"Comedy, Crime, Action, Drama", English,2017-08-17 00:00:00,49046121,67,Logan Lucky
AU,29000000,"Comedy, Music", English,2015-05-07 00:00:00,287215196,69,Pitch Perfect 2
AU,29000000,Drama, English,1991-03-14 00:00:00,51636504,78,Awakenings
AU,29000000,"Drama, Music, Romance", English,2006-02-02 00:00:00,187707495,75,Walk the Line
AU,29000000,"Science Fiction, Thriller", English,2021-04-08 00:00:00,4131781,60,Voyagers
